lane,product_id,sku,name,subcategory_slug,current_product_type,proposed_product_type,current_primary_taxon_slug,proposed_primary_taxon_slug,strategy,confidence
vat-lieu-nuoc,408,Rheem 25V/P,Bình nước nóng gián tiếp Rheem Mekong,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,406,Rheem XC-15 W,Bình nước nóng gián tiếp Rheem Xwell,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,5370,SQ 200L DUNG 3000W,Bình nước nóng gián tiếp thể tích lớn Ferroli SQ SQ 200L DUNG 3000W,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,5320,PC-3-E,Bộ hỗ trợ nhiệt cho máy nước nóng năng lượng mặt trời dạng ống Ariston PC-3-E,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,5312,AN2 15 LUX-D,Máy nước nóng gián tiếp Andris Lux-D Ariston AN2 LUX-D AN2 15 LUX-D,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,421,AN2 R 15,Máy nước nóng gián tiếp Andris2 R Ariston AN2 R 15,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,420,AN2 RS 15,Máy nước nóng gián tiếp Andris2 Rs Ariston AN2 RS 15,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,5302,AQUA 50L DUNG,Máy Nước Nóng Gián Tiếp Aqua Ferroli AQUA 50L DUNG,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,5303,AQUA E 50L,Máy nước nóng gián tiếp Ferroli Aqua E thể tích lớn chống giật,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,5300,CUBO 15L,Máy nước nóng gián tiếp Ferroli Cubo CUBO 15L,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,5301,CUBO E 15L,Máy nước nóng gián tiếp Ferroli Cubo E chống giật,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,419,HOT DOG 5L,Máy nước nóng gián tiếp Ferroli Hot Dog cho chậu bếp,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
vat-lieu-nuoc,5299,QQ AE 15L,Máy nước nóng gián tiếp Ferroli QQ AE chống cặn chống giật QQ AE 15L,may-nuoc-nong,,,,,manual-or-name-heuristic-needed,low
