lane,product_id,sku,name,subcategory_slug,current_product_type,proposed_product_type,taxon_id,proposed_primary_taxon_slug,proposed_primary_taxon_path
vat-lieu-nuoc,5348,BNDTl1000D,Bồn nước inox Đại Thành 1000L đứng SUS 304 BNDTl1000D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5349,BNDTl1000N,Bồn nước inox Đại Thành 1000L ngang SUS 304 BNDTl1000N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5350,BNDTl1500N,Bồn nước inox Đại Thành 1500L ngang SUS 304 BNDTl1500N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5351,BNDTl1500D,Bồn nước inox Đại Thành 1500L đứng SUS 304 BNDTl1500D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5352,BNDTl2000N,Bồn nước inox Đại Thành 2000L ngang SUS 304 BNDTl2000N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5353,BNDTl2000D,Bồn nước inox Đại Thành 2000L đứng SUS 304 BNDTl2000D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5354,BNDTl2500N,Bồn nước inox Đại Thành 2500L ngang SUS 304 BNDTl2500N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5355,BNDTl2500D,Bồn nước inox Đại Thành 2500L đứng SUS 304 BNDTl2500D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5356,BNDTl3000N,Bồn nước inox Đại Thành 3000L ngang SUS 304 BNDTl3000N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5357,BNDTl3000D,Bồn nước inox Đại Thành 3000L đứng SUS 304 BNDTl3000D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5358,BNDTl4000N,Bồn nước inox Đại Thành 4000L ngang SUS 304 BNDTl4000N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5359,BNDTl4500N,Bồn nước inox Đại Thành 4500L ngang SUS 304 BNDTl4500N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5360,BNDTl4000D,Bồn nước inox Đại Thành 4000L đứng SUS 304 BNDTl4000D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5361,BNDTl4500D,Bồn nước inox Đại Thành 4500L đứng SUS 304 BNDTl4500D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5362,BNDTl5000N,Bồn nước inox Đại Thành 5000L ngang SUS 304 BNDTl5000N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5363,BNDTl5000D,Bồn nước inox Đại Thành 5000L đứng SUS 304 BNDTl5000D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5364,BNDTl500N,Bồn nước inox Đại Thành 500L ngang SUS 304 BNDTl500N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5365,BNDTl500D,Bồn nước inox Đại Thành 500L đứng SUS 304 BNDTl500D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5366,BNDTl6000N,Bồn nước inox Đại Thành 6000L ngang SUS 304 BNDTl6000N,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,5367,BNDTl6000D,Bồn nước inox Đại Thành 6000L đứng SUS 304 BNDTl6000D,bon-chua-nuoc,,bon-chua-nuoc,,,
vat-lieu-nuoc,422,KAQ-U99,Máy lọc nước Karofi KAQ-U99,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,423,KTF-P01,Lọc tổng trung tâm cao cấp Karofi KTF-P01,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,424,KTF-P02,Lọc tổng trung tâm cao cấp Karofi KTF-P02,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,425,KTF-222C,Máy lọc tổng đầu nguồn Karofi KTF-222C,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,426,KTF-552,Máy lọc tổng đầu nguồn Karofi KTF-552,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,427,WHF-E666,Lọc tổng trung tâm cao cấp Karofi WHF-E666,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,428,SA9 PREMIUM,Máy lọc nước Karofi SA9 PREMIUM nóng lạnh Hydro-ion kiềm,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,429,DA9 PREMIUM,Máy lọc nước Karofi DA9 PREMIUM Hydro-ion kiềm,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,430,KMF-68,Lọc tổng trung tâm cao cấp Karofi KMF-68,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,431,KST-79,Lọc tổng trung tâm cao cấp Karofi KST-79,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,432,KTF-332C,Máy lọc tổng đầu nguồn Karofi KTF-332C,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,433,KTF-332I,Máy lọc tổng đầu nguồn Karofi KTF-332I,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,434,KTF-333C,Máy lọc tổng đầu nguồn Karofi KTF-333C,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,435,KTF-333I,Máy lọc tổng đầu nguồn Karofi KTF-333I,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,436,KTF-552 ECO,Máy lọc tổng đầu nguồn Karofi KTF-552 ECO,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,437,KTF-662,Máy lọc tổng đầu nguồn Karofi KTF-662,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,438,KTF-888,Lọc tổng trung tâm cao cấp Karofi KTF-888,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,439,WHF-E666 PLUS,Lọc tổng trung tâm Karofi WHF-E666 PLUS cao cấp,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,440,EF401,Máy lọc nước lắp tại vòi Mitsubishi Cleansui EF401,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,441,EF201,Máy lọc nước lắp tại vòi Mitsubishi Cleansui EF201,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,461,EF102,Đầu lọc nước tại vòi Mitsubishi Cleansui EF102,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,462,ES301-WT,Thiết bị lọc nước Mitsubishi Cleansui ES301-WT/BK vòi sen tắm,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,463,ES101,Thiết bị lọc nước Mitsubishi Cleansui ES101 vòi sen tắm,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,464,ES201W,Thiết bị lọc nước Mitsubishi Cleansui ES201W vòi sen tắm,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,465,MP02-4,Thiết bị lọc nước Mitsubishi Cleansui MP02-4 công nghiệp,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,466,MP02-3,Thiết bị lọc nước Mitsubishi Cleansui MP02-3 công nghiệp,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,467,ET101,Thiết bị lọc nước Mitsubishi Cleansui ET101 trên bồn rửa,loc-nuoc,,loc-nuoc,,,
vat-lieu-nuoc,468,EU202,Thiết bị lọc nước Mitsubishi Cleansui EU202 âm tủ bếp,loc-nuoc,,loc-nuoc,,,
