product_id,sku,brand_name,name,current_product_type,proposed_product_type,heuristic_reason
402,DH-4MS1VW,PANASONIC,Máy nước nóng trực tiếp Panasonic 4.5kW DH-4MS1VW,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
403,DH-15HBMVW,PANASONIC,Máy Nước Nóng Panasonic Gián Tiếp DH DH-15HBMVW,,may-nuoc-nong-gian-tiep,name-keywords-gian-tiep
404,DH-4NTP1VM,PANASONIC,Máy nước nóng trực tiếp Panasonic 4.5kW DH-4NTP1VM,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
405,DH-4MP1VW,PANASONIC,Máy nước nóng trực tiếp Panasonic 4.5kW DH-4MP1VW,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
406,Rheem XC-15 W,Rheem,Bình nước nóng gián tiếp Rheem Xwell,,may-nuoc-nong-gian-tiep,name-keywords-gian-tiep
407,Rheem RH-688E WT,Rheem,Máy nước nóng trực tiếp Rheem Performance Plus Rheem RH-688E WT,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
408,Rheem 25V/P,Rheem,Bình nước nóng gián tiếp Rheem Mekong,,may-nuoc-nong-gian-tiep,name-keywords-gian-tiep
409,AMORE GDP 4500W,Ferroli,Máy nước nóng trực tiếp Ferroli Amore GDP điều khiển điện tử,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
410,AMORE GSP 4500W,Ferroli,Máy nước nóng trực tiếp Ferroli Amore GSP bơm tăng áp,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
411,AMORE GSN 4500W,Ferroli,Máy nước nóng trực tiếp Ferroli Amore GSN điều khiển cơ,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
412,RITA FS-4.5 DE,Ferroli,Máy nước nóng trực tiếp Ferroli Rita DE hiển thị nhiệt độ RITA FS-4.5 DE,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
413,RITA FS-4.5 TE,Ferroli,Máy nước nóng trực tiếp Ferroli Rita TE chống giật RITA FS-4.5 TE,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
414,RITA FS-4.5 TM,Ferroli,Máy nước nóng trực tiếp Ferroli Rita TM không bơm RITA FS-4.5 TM,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
415,DIVO SSN,Ferroli,Máy nước nóng trực tiếp Ferroli Divo SSN không bơm,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
416,DIVO SSP,Ferroli,Máy nước nóng trực tiếp Ferroli Divo SSP bơm tăng áp,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
417,DIVO SDN,Ferroli,Máy nước nóng trực tiếp Ferroli Divo SDN hiển thị nhiệt độ,,may-nuoc-nong-truc-tiep,name-keywords-truc-tiep
