id,sku,brand,product_type,product_type_de_xuat,ten_san_pham
2223,VF-0901,American Standard,lavabo,chan-chau,"Chân chậu lavabo dài American Standard VF-0901 (VF0901)"
2224,WP-F711,American Standard,lavabo,chan-chau,"Chân chậu lavabo dài American Standard WP-F711 (WPF711)"
1886,0707-WT,American Standard,lavabo,chan-chau,"Chân chậu lavabo lửng American Standard 0707-WT (0707WT)"
1887,0712-WT,American Standard,lavabo,chan-chau,"Chân chậu lavabo lửng American Standard 0712-WT (0712WT)"
2220,0740-WT,American Standard,lavabo,chan-chau,"Chân chậu lavabo lửng American Standard 0740-WT (0740WT)"
963,0755-WT,American Standard,lavabo,chan-chau,"Chân chậu lavabo lửng American Standard 0755-WT (0755WT)"
2221,VF-0741,American Standard,lavabo,chan-chau,"Chân chậu lavabo lửng American Standard VF-0741 (VF0741)"
2222,VF-0912,American Standard,lavabo,chan-chau,"Chân chậu lavabo lửng American Standard VF-0912 (VF0912)"
2225,VF-7062,American Standard,lavabo,chan-chau,"Chân chậu lavabo lửng LOVEN American Standard VF-7062 (VF7062)"
1961,0452-WT,American Standard,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành American Standard 0452-WT (0452WT)"
1962,0477-WT,American Standard,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành American Standard 0477-WT (0477WT)"
1963,VF-0420,American Standard,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành American Standard VF-0420 (VF0420)"
1967,VF-0476,American Standard,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành American Standard VF-0476 (VF0476)"
1964,WP-0310,American Standard,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành American Standard WP-0310 (WP0310)"
1965,WP-F417,American Standard,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành American Standard WP-F417 (WPF417)"
1966,VF-0462,American Standard,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành LOVEN American Standard VF-0462 (VF0462)"
2081,AT-T808,ATMOR,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành ATMOR AT-T808 (ATT808)"
2077,AT40230,ATMOR,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành ATMOR AT40230"
2078,AT4056-20,ATMOR,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành ATMOR AT4056-20 (AT405620)"
2079,AT4270-800,ATMOR,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành ATMOR AT4270-800 (AT4270800)"
2080,AT4969-600,ATMOR,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành ATMOR AT4969-600 (AT4969600)"
2082,AT4969-800,ATMOR,lavabo,lavabo-dat-ban,"Chậu lavabo dương vành ATMOR AT4969-800 (AT4969800)"
2083,AT103,ATMOR,lavabo,lavabo-dat-ban,"Lavabo dương vành ATMOR AT103"
1361,LF5017+EH15017AW7V,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5017 kèm tủ EH15017AW7V"
1359,LF5024+EH05024ASV,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5024 kèm tủ EH05024ASV"
1362,LF5024+EH15024AW7V,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5024 kèm tủ EH15024AW7V"
1373,LF5024+EH15024DDW7V,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5024 kèm tủ EH15024DDW7V"
1358,LF5026+EH05026ASV,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5026 kèm tủ EH05026ASV"
1363,LF5026+EH15026AW7V,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5026 kèm tủ EH15026AW7V"
1357,LF5028+EH05028ASV,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5028 kèm tủ EH05028ASV"
1364,LF5028+EH15028AW7V,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5028 kèm tủ EH15028AW7V"
1356,LF5030+EH05030AWV,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5030 kèm tủ EH05030AWV"
1374,LF5032+EH05032AWV,CAESAR,lavabo,tu-chau,"Bộ tủ chậu CAESAR LF5032 kèm tủ EH05032AWV"
