id,sku,brand,proposed_product_type,current_product_type,name
3087,491000S-WT,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard 491000S-WT (2530-WT; VF-2530; 2407-WT)
3674,580000S-WT,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard 580000S-WT (2309-WT)
3672,61000NS-WT,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard 61000NS-WT (2630-WT)
3673,640000S-WT,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard 640000S-WT (2007-WT; 2307-WT)
1004,CSCFA650,American Standard,nap-rua-co,nap-bon-cau,Nắp rửa cơ Slim 3 American Standard
1215,CTSS1808-1M,American Standard,CHUA_XAC_DINH,nap-bon-cau,Nắp bồn cầu American Standard
3095,CTSS1858-1M,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard CTSS1858-1M (VF-1858)
1011,M4A839,American Standard,nap-rua-co,nap-bon-cau,Nắp rửa cơ American Standard
3088,SCCNI1518S-WT,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard SCCNI1518S-WT (VF-2010; VF-2011)
3098,SCVN4500-WT,American Standard,CHUA_XAC_DINH,nap-bon-cau,Nắp bồn cầu American Standard SCVN4500-WT (VF-2397; VF-2398)
3089,SCVN4800-WT,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard SCVN4800-WT (VF-2397SL; VF-2398SL)
3092,SCVN4900S-WT,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard SCVN4900S-WT (VF-2013)
1000,SLIM00001-WT,American Standard,nap-rua-co,nap-bon-cau,Nắp rửa cơ Slim American Standard SLIM00001-WT
1533,WP-7SL1,American Standard,nap-dien-tu,nap-bon-cau,Nắp điện tử American Standard
3086,WP-7SR1,American Standard,nap-dien-tu,nap-bon-cau,Nắp điện tử American Standard
3090,WP-C025,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard WP-C025 (WP-2025)
1197,WP-C119,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp đóng êm American Standard CrysralSleek
3091,WP-C119S,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard WP-C119S (WP-1880; 2622-WT)
3099,WP-C162,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard WP-C162 (VF-1862; VF-1863; VF-2162)
3093,WP-C630,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard WP-C630 (WP-2073)
3097,WP-C630S,American Standard,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm American Standard WP-C630S (WP-1880N)
1207,M220,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu thường Caesar
1213,M221,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
1210,M232,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
3100,M233,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
1214,M243,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
3103,M245,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
1211,M256,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
3101,M260,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
1209,M282,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu thường Caesar
1206,M284,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu thường Caesar
1208,MS220,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
1212,MU234,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
3102,MU263,CAESAR,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Caesar
1001,TAF060,CAESAR,nap-rua-co,nap-bon-cau,Nắp bồn cầu rửa cơ Caesar
1191,TAF400H-PW,CAESAR,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử Caesar TAF400H
1192,TAF512H-PW,CAESAR,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử Caesar TAF512H
1193,TAF610H-PW,CAESAR,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử Caesar TAF610H
1194,TAF710H-PW,CAESAR,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử Caesar TAF710H
3115,C9006,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3677,C9007,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm cho bồn cầu trẻ em COTTO
3108,C90801,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3111,C90804,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3678,C90841,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
1217,C91252,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3113,C91253,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3110,C9151,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3107,C91542,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3112,C9154MBK,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
1216,C9161,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3114,C91620,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3109,C91831,COTTO,nap-thuong-dong-em,nap-bon-cau,Nắp bàn cầu đóng êm COTTO
3104,C9201,COTTO,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử COTTO
3105,C9203,COTTO,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử COTTO
3106,C9204,COTTO,nap-dien-tu,nap-bon-cau,Nắp rửa điện tử COTTO
1005,CVN92200,COTTO,nap-rua-co,nap-bon-cau,Nắp rửa cơ COTTO
1006,CVN92201,COTTO,nap-rua-co,nap-bon-cau,Nắp rửa cơ COTTO
1008,CVN92202,COTTO,nap-rua-co,nap-bon-cau,Nắp rửa cơ COTTO
1007,CVN92203,COTTO,nap-rua-co,nap-bon-cau,Nắp rửa cơ COTTO
1009,CVN92204,COTTO,nap-rua-co,nap-bon-cau,Nắp rửa cơ COTTO
1010,CVN92205,COTTO,nap-rua-co,nap-bon-cau,Nắp rửa cơ COTTO
3663,101036SH00,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp đóng êm Euro Ceramic GROHE
1195,101330SH00,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bệ ngồi đóng êm Grohe
4759,14924SH0,GROHE,CHUA_XAC_DINH,nap-bon-cau,Bệ ngồi bồn cầu GROHE
3659,36490000,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm BAU OP Grohe
3661,39330000,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Euro Ceramic Grohe
3664,39330001,GROHE,nap-thuong-dong-em,nap-bon-cau,Nắp bồn cầu đóng êm Euro Ceramic GROHE 39330001
