id,sku,brand,old_type,new_type,sub_type,changed,name
555,BFV-3415T,INAX,sen-cay-nhiet-do,sen-dung,,YES,"Bộ sen tắm cây nhiệt độ INAX BFV-3415T (BFV3415T)"
556,BFV-3415T-8C,INAX,sen-cay-nhiet-do,sen-dung,,YES,"Bộ sen cây tắm nhiệt độ INAX BFV-3415T-8C (BFV3415T8C)"
557,BFV-3413T-3C,INAX,sen-nhiet-do,cu-sen,,YES,"Sen tắm nhiệt độ INAX BFV-3413T-3C (BFV3413T3C)"
558,BFV-3413T-4C,INAX,sen-nhiet-do,cu-sen,,YES,"Sen tắm nhiệt độ INAX BFV-3413T-4C (BFV3413T4C)"
559,BFV-7145T-3C,INAX,sen-nhiet-do,cu-sen,,YES,"Sen tắm nhiệt độ INAX BFV-7145T-3C (BFV7145T3C)"
560,BFV-6015S,INAX,sen-cay-nhiet-do,sen-dung,,YES,"Bộ sen tắm cây đứng ổn nhiệt INAX BFV-6015S (BFV6015S)"
561,BFV-3413T-7C,INAX,sen-nhiet-do,cu-sen,,YES,"Sen tắm nhiệt độ INAX BFV-3413T-7C (BFV3413T7C)"
562,BFV-3413T-8C,INAX,sen-nhiet-do,cu-sen,,YES,"Sen tắm nhiệt độ INAX BFV-3413T-8C (BFV3413T8C)"
563,BFV-3415T-7C,INAX,sen-cay-nhiet-do,sen-dung,,YES,"Bộ sen cây tắm nhiệt độ INAX BFV-3415T-7C (BFV3415T7C)"
564,BFV-655T,INAX,sen-cay-nhiet-do,sen-dung,,YES,"Sen tắm cây nhiệt độ INAX BFV-655T (BFV655T)"
565,BFV-3415T-9C,INAX,sen-cay-nhiet-do,sen-dung,,YES,"Bộ sen tắm cây nhiệt độ INAX BFV-3415T-9C (BFV3415T9C)"
566,BFV-655T-SPA,INAX,sen-cay-nhiet-do,sen-dung,,YES,"Sen tắm cây nhiệt độ INAX BFV-655T-SPA (BFV655TSPA)"
567,BFV-639T,INAX,sen-cay-nhiet-do,sen-dung,,YES,"Sen tắm cây nhiệt độ INAX BFV-639T"
568,BFV-619T,INAX,sen-cay-nhiet-do,sen-dung,,YES,"Sen tắm cây nhiệt độ INAX BFV-619T"
569,BFV-636T,INAX,sen-nhiet-do,cu-sen,,YES,"Sen tắm nhiệt độ INAX BFV-636T"
570,TVSM104NSR/DM907CS,TOTO,sen-cay-nhiet-do,sen-dung,,YES,"Sen cây tắm đứng nóng lạnh TOTO DM907CS kèm vòi sen TVSM104NSR"
571,TBW01301AB,TOTO,sen-cay-nhiet-do,sen-dung,,YES,"Sen cây nóng lạnh TOTO TBW01301AB dòng G kèm vòi xả bồn"
