id,sku,brand,name,price_display,variant_group,slug
3068,1073919990,American Standard,"Bồn cầu treo tường nắp điện tử thông minh dòng Aero-Lite American Standard 1073919990 (103032BL00+103026SH00)",36.750.000đ,,bon-cau-treo-tuong-nap-dien-tu-thong-minh-dong-aero-lite-american-standard-1073919990-103032bl00103026sh00-1073919990
1855,2007-WT,American Standard,"Bồn cầu 1 khối American Standard 2007-WT nắp êm dòng Acacia Evolution",8.800.000đ,,bon-cau-1-khoi-american-standard-2007-wt-2007wt-nap-em-dong-acacia-evolution-2007-wt
1864,2307-WT,American Standard,"Bồn cầu 2 khối American Standard 2307-WT nắp êm",10.309.500đ,,bon-cau-2-khoi-american-standard-2307-wt-2307wt-nap-em-2307-wt
3071,2309-WT,American Standard,"Bồn cầu 2 khối American Standard 2309-WT nắp êm dòng Cygnet",7.480.000đ,,bon-cau-2-khoi-american-standard-2309-wt-2309wt-nap-em-dong-cygnet-2309-wt
1865,2407-WT,American Standard,"Bồn cầu 2 khối American Standard 2407-WT nắp êm dòng Compact Codie",4.243.500đ,,bon-cau-2-khoi-american-standard-2407-wt-2407wt-nap-em-dong-compact-codie-2407-wt
1863,2530-WT,American Standard,"Bồn cầu 1 khối American Standard 2530-WT nắp êm dòng Flexio",8.099.000đ,,bon-cau-1-khoi-american-standard-2530-wt-2530wt-nap-em-dong-flexio-2530-wt
3070,2622-WT,American Standard,"Bồn cầu 2 khối American Standard 2622-WT nắp êm dòng Signature",8.514.000đ,,bon-cau-2-khoi-american-standard-2622-wt-2622wt-nap-em-dong-signature-2622-wt
3072,2630-WT,American Standard,"Bồn cầu 2 khối American Standard 2630-WT nắp êm dòng Neo Modern",4.450.000đ,,bon-cau-2-khoi-american-standard-2630-wt-2630wt-nap-em-dong-neo-modern-2630-wt
1972,3229B-WT,American Standard,"Bồn cầu đặt sàn American Standard 3229B-WT (chưa gồm nắp)",6.825.000đ,,bon-cau-dat-san-american-standard-3229b-wt-3229bwt-chua-gom-nap-3229b-wt
3047,KP-8310,American Standard,"Bồn cầu điện tử thông minh American Standard KP-8310 dòng PLAT",28.910.000đ,,bon-cau-dien-tu-thong-minh-american-standard-kp-8310-kp8310-dong-plat-kp-8310
3062,KP-8312,American Standard,"Bồn cầu điện tử thông minh American Standard KP-8312 dòng PLAT",39.900.000đ,,bon-cau-dien-tu-thong-minh-american-standard-kp-8312-kp8312-dong-plat-kp-8312
1856,VF-1808,American Standard,"Bồn cầu 1 khối American Standard VF-1808 nắp êm dòng Acacia Evolution",6.486.000đ,,bon-cau-1-khoi-american-standard-vf-1808-vf1808-nap-em-dong-acacia-evolution-vf-1808
1868,VF-1808E,American Standard,"Bồn cầu 1 khối American Standard VF-1808E nắp êm dòng Acacia SupaSleek",7.526.000đ,,bon-cau-1-khoi-american-standard-vf-1808e-vf1808e-nap-em-dong-acacia-supasleek-vf-1808e
1853,VF-1808ET,American Standard,"Bồn cầu 1 khối American Standard VF-1808ET nắp êm dòng Acacia SupaSleek",8.850.000đ,,bon-cau-1-khoi-american-standard-vf-1808et-vf1808et-nap-em-dong-acacia-supasleek-vf-1808et
3048,VF-1808PL,American Standard,"Bồn cầu 1 khối American Standard VF-1808PL nắp điện tử",14.045.000đ,,bon-cau-1-khoi-american-standard-vf-1808pl-vf1808pl-nap-dien-tu-vf-1808pl
