old_slug,new_slug,old_url,new_url,sku
"bo-voi-sen-am-tuong-moen-130395t2085t2084-130395t2085t2084","bo-voi-sen-am-tuong-moen-130395-kem-t2085t2084","/san-pham/bo-voi-sen-am-tuong-moen-130395t2085t2084-130395t2085t2084","/san-pham/bo-voi-sen-am-tuong-moen-130395-kem-t2085t2084","130395+T2085(T2084)"
"bo-voi-sen-am-tuong-nong-lanh-moen-130395t2285t2284-130395t2285t2284","bo-voi-sen-am-tuong-nong-lanh-moen-130395-kem-t2285t2284","/san-pham/bo-voi-sen-am-tuong-nong-lanh-moen-130395t2285t2284-130395t2285t2284","/san-pham/bo-voi-sen-am-tuong-nong-lanh-moen-130395-kem-t2285t2284","130395+T2285(T2284)"
"bo-sen-tam-am-tuong-nong-lanh-moen-130395t2285t2284130394-130395t2285t2284130394","bo-sen-tam-moen-130395-kem-t2285t2284-130394","/san-pham/bo-sen-tam-am-tuong-nong-lanh-moen-130395t2285t2284130394-130395t2285t2284130394","/san-pham/bo-sen-tam-moen-130395-kem-t2285t2284-130394","130395+T2285(T2284)+130394"
"sen-tam-cay-dung-nong-lanh-eva-moen-13881-2232a-64132-148691-143572-138812232a64132148691143572","sen-tam-cay-dung-nong-lanh-moen-13881-kem-2232a-64132-148691-143572","/san-pham/sen-tam-cay-dung-nong-lanh-eva-moen-13881-2232a-64132-148691-143572-138812232a64132148691143572","/san-pham/sen-tam-cay-dung-nong-lanh-moen-13881-kem-2232a-64132-148691-143572","13881+2232A+64132+148691+143572"
"bo-sen-tam-cay-dung-nong-lanh-moen-eva-138812232a641323851143572-138812232a641323851143572","bo-sen-tam-cay-dung-nong-lanh-moen-13881-kem-2232a-64132-3851-143572","/san-pham/bo-sen-tam-cay-dung-nong-lanh-moen-eva-138812232a641323851143572-138812232a641323851143572","/san-pham/bo-sen-tam-cay-dung-nong-lanh-moen-13881-kem-2232a-64132-3851-143572","13881+2232A+64132+3851+143572"
"voi-sen-cay-nong-lanh-moen-139011-57902-57132v-148691-143572-1390115790257132v148691143572","voi-sen-cay-nong-lanh-moen-139011-kem-57902-57132v-148691-143572","/san-pham/voi-sen-cay-nong-lanh-moen-139011-57902-57132v-148691-143572-1390115790257132v148691143572","/san-pham/voi-sen-cay-nong-lanh-moen-139011-kem-57902-57132v-148691-143572","139011+57902+57132V+148691+143572"
"bo-sen-cay-tam-dung-nong-lanh-moen-2232a18131v-1-2232a18131v-1","bo-sen-cay-tam-dung-nong-lanh-moen-2232a-kem-18131v-1","/san-pham/bo-sen-cay-tam-dung-nong-lanh-moen-2232a18131v-1-2232a18131v-1","/san-pham/bo-sen-cay-tam-dung-nong-lanh-moen-2232a-kem-18131v-1","2232A+18131V-1"
"bo-sen-cay-tam-dung-nhiet-do-moen-2255jp58232-2255jp58232","bo-sen-cay-tam-dung-moen-2255-kem-jp58232","/san-pham/bo-sen-cay-tam-dung-nhiet-do-moen-2255jp58232-2255jp58232","/san-pham/bo-sen-cay-tam-dung-moen-2255-kem-jp58232","2255+JP58232"
"bo-sen-cay-tam-dung-nong-lanh-moen-essence-2268-14132-147169-143572-226814132147169143572","bo-sen-cay-tam-dung-nong-lanh-moen-2268-kem-14132-147169-143572","/san-pham/bo-sen-cay-tam-dung-nong-lanh-moen-essence-2268-14132-147169-143572-226814132147169143572","/san-pham/bo-sen-cay-tam-dung-nong-lanh-moen-2268-kem-14132-147169-143572","2268+14132+147169+143572"
"bo-sen-tam-cay-dung-nong-lanh-moen-aurelia-226821132147169143572-226821132147169143572","bo-sen-tam-cay-dung-nong-lanh-moen-2268-kem-21132-147169-143572","/san-pham/bo-sen-tam-cay-dung-nong-lanh-moen-aurelia-226821132147169143572-226821132147169143572","/san-pham/bo-sen-tam-cay-dung-nong-lanh-moen-2268-kem-21132-147169-143572","2268+21132+147169+143572"
"voi-sen-cay-nong-lanh-moen-3012229611231106444143572-3012229611231106444143572","voi-sen-cay-nong-lanh-moen-3012-kem-2296-11231-106444-143572","/san-pham/voi-sen-cay-nong-lanh-moen-3012229611231106444143572-3012229611231106444143572","/san-pham/voi-sen-cay-nong-lanh-moen-3012-kem-2296-11231-106444-143572","3012+2296+11231+106444+143572"
"bo-sen-tam-cay-dung-nong-lanh-moen-3012-2296-21132-106444-143572-3012229621132106444143572","bo-sen-tam-cay-dung-nong-lanh-moen-3012-kem-2296-21132-106444-143572","/san-pham/bo-sen-tam-cay-dung-nong-lanh-moen-3012-2296-21132-106444-143572-3012229621132106444143572","/san-pham/bo-sen-tam-cay-dung-nong-lanh-moen-3012-kem-2296-21132-106444-143572","3012+2296+21132+106444+143572"
