id,sku,brand,variant_group,old_name,new_name,old_slug,new_slug,changed
2114,"130395+T2085(T2084)","MOEN","130395","Bộ vòi sen âm tường MOEN 130395+T2085(T2084) 130395+T2085(T2084)","Bộ vòi sen âm tường MOEN 130395 kèm T2085(T2084)","bo-voi-sen-am-tuong-moen-130395t2085t2084-130395t2085t2084","bo-voi-sen-am-tuong-moen-130395-kem-t2085t2084",YES
2482,"130395+T2285(T2284)","MOEN","130395","Bộ vòi sen âm tường nóng lạnh MOEN 130395+T2285(T2284) 130395+T2285(T2284)","Bộ vòi sen âm tường nóng lạnh MOEN 130395 kèm T2285(T2284)","bo-voi-sen-am-tuong-nong-lanh-moen-130395t2285t2284-130395t2285t2284","bo-voi-sen-am-tuong-nong-lanh-moen-130395-kem-t2285t2284",YES
2135,"130395+T2285(T2284)+130394","MOEN","130395","Bộ sen tắm âm tường nóng lạnh MOEN 130395+T2285(T2284)+130394 130395+T2285(T2284)+130394","Bộ sen tắm MOEN 130395 kèm T2285(T2284), 130394","bo-sen-tam-am-tuong-nong-lanh-moen-130395t2285t2284130394-130395t2285t2284130394","bo-sen-tam-moen-130395-kem-t2285t2284-130394",YES
2359,"13881+2232A+64132+148691+143572","MOEN","13881","Sen tắm cây đứng nóng lạnh Eva MOEN 13881 + 2232A + 64132 + 148691 + 143572 13881+2232A+64132+148691+143572","Sen tắm cây đứng nóng lạnh MOEN 13881 kèm 2232A, 64132, 148691, 143572","sen-tam-cay-dung-nong-lanh-eva-moen-13881-2232a-64132-148691-143572-138812232a64132148691143572","sen-tam-cay-dung-nong-lanh-moen-13881-kem-2232a-64132-148691-143572",YES
2347,"13881+2232A+64132+3851+143572","MOEN","13881","Bộ sen tắm cây đứng nóng lạnh MOEN Eva 13881+2232A+64132+3851+143572 13881+2232A+64132+3851+143572","Bộ sen tắm cây đứng nóng lạnh MOEN 13881 kèm 2232A, 64132, 3851, 143572","bo-sen-tam-cay-dung-nong-lanh-moen-eva-138812232a641323851143572-138812232a641323851143572","bo-sen-tam-cay-dung-nong-lanh-moen-13881-kem-2232a-64132-3851-143572",YES
2355,"139011+57902+57132V+148691+143572","MOEN","139011","Vòi sen cây nóng lạnh MOEN 139011 + 57902 + 57132V + 148691 + 143572 139011+57902+57132V+148691+143572","Vòi sen cây nóng lạnh MOEN 139011 kèm 57902, 57132V, 148691, 143572","voi-sen-cay-nong-lanh-moen-139011-57902-57132v-148691-143572-1390115790257132v148691143572","voi-sen-cay-nong-lanh-moen-139011-kem-57902-57132v-148691-143572",YES
2365,"2232A+18131V-1","MOEN","2232A","Bộ sen cây tắm đứng nóng lạnh MOEN 2232A+18131V-1 2232A+18131V-1","Bộ sen cây tắm đứng nóng lạnh MOEN 2232A kèm 18131V-1","bo-sen-cay-tam-dung-nong-lanh-moen-2232a18131v-1-2232a18131v-1","bo-sen-cay-tam-dung-nong-lanh-moen-2232a-kem-18131v-1",YES
2774,"2255+JP58232","MOEN","2255","Bộ sen cây tắm đứng nhiệt độ MOEN 2255+JP58232 2255+JP58232","Bộ sen cây tắm đứng MOEN 2255 kèm JP58232","bo-sen-cay-tam-dung-nhiet-do-moen-2255jp58232-2255jp58232","bo-sen-cay-tam-dung-moen-2255-kem-jp58232",YES
2356,"2268+14132+147169+143572","MOEN","2268","Bộ sen cây tắm đứng nóng lạnh MOEN Essence 2268 + 14132 + 147169 + 143572 2268+14132+147169+143572","Bộ sen cây tắm đứng nóng lạnh MOEN 2268 kèm 14132, 147169, 143572","bo-sen-cay-tam-dung-nong-lanh-moen-essence-2268-14132-147169-143572-226814132147169143572","bo-sen-cay-tam-dung-nong-lanh-moen-2268-kem-14132-147169-143572",YES
2348,"2268+21132+147169+143572","MOEN","2268","Bộ sen tắm cây đứng nóng lạnh MOEN Aurelia 2268+21132+147169+143572 2268+21132+147169+143572","Bộ sen tắm cây đứng nóng lạnh MOEN 2268 kèm 21132, 147169, 143572","bo-sen-tam-cay-dung-nong-lanh-moen-aurelia-226821132147169143572-226821132147169143572","bo-sen-tam-cay-dung-nong-lanh-moen-2268-kem-21132-147169-143572",YES
