old_slug,new_slug,old_url,new_url,sku
"chau-rua-lavabo-treo-tuong-chan-dai-caesar-l2140p2445-l2140p2445","chau-rua-lavabo-treo-tuong-caesar-l2140-kem-chan-chau-p2445","/san-pham/chau-rua-lavabo-treo-tuong-chan-dai-caesar-l2140p2445-l2140p2445","/san-pham/chau-rua-lavabo-treo-tuong-caesar-l2140-kem-chan-chau-p2445","L2140+P2445"
"chau-rua-lavabo-treo-tuong-chan-lung-caesar-l2150p2443-l2150sp2443-l2150sp2443","chau-rua-lavabo-treo-tuong-caesar-l2150s-kem-chan-chau-p2443","/san-pham/chau-rua-lavabo-treo-tuong-chan-lung-caesar-l2150p2443-l2150sp2443-l2150sp2443","/san-pham/chau-rua-lavabo-treo-tuong-caesar-l2150s-kem-chan-chau-p2443","L2150S+P2443"
"chau-rua-lavabo-treo-tuong-chan-dai-caesar-l2150p2445-l2150sp2445-l2150sp2445","chau-rua-lavabo-treo-tuong-caesar-l2150s-kem-chan-chau-p2445","/san-pham/chau-rua-lavabo-treo-tuong-chan-dai-caesar-l2150p2445-l2150sp2445-l2150sp2445","/san-pham/chau-rua-lavabo-treo-tuong-caesar-l2150s-kem-chan-chau-p2445","L2150S+P2445"
"chau-rua-lavabo-treo-tuong-chan-dai-caesar-l2152p2445-l2152p2445","chau-rua-lavabo-treo-tuong-caesar-l2152-kem-chan-chau-p2445","/san-pham/chau-rua-lavabo-treo-tuong-chan-dai-caesar-l2152p2445-l2152p2445","/san-pham/chau-rua-lavabo-treo-tuong-caesar-l2152-kem-chan-chau-p2445","L2152+P2445"
"chau-rua-lavabo-treo-tuong-chan-dai-caesar-l2220p2445-l2220p2445","chau-rua-lavabo-treo-tuong-caesar-l2220-kem-chan-chau-p2445","/san-pham/chau-rua-lavabo-treo-tuong-chan-dai-caesar-l2220p2445-l2220p2445","/san-pham/chau-rua-lavabo-treo-tuong-caesar-l2220-kem-chan-chau-p2445","L2220+P2445"
"chau-rua-lavabo-treo-tuong-chan-lung-caesar-l2365p2443-l2365p2443","chau-rua-lavabo-treo-tuong-caesar-l2365-kem-chan-chau-p2443","/san-pham/chau-rua-lavabo-treo-tuong-chan-lung-caesar-l2365p2443-l2365p2443","/san-pham/chau-rua-lavabo-treo-tuong-caesar-l2365-kem-chan-chau-p2443","L2365+P2443"
"tu-chau-cabinet-treo-mau-xam-dam-caesar-l5022eh05022asv-l5022eh05022asv","tu-chau-cabinet-treo-caesar-l5022-kem-tu-eh05022asv","/san-pham/tu-chau-cabinet-treo-mau-xam-dam-caesar-l5022eh05022asv-l5022eh05022asv","/san-pham/tu-chau-cabinet-treo-caesar-l5022-kem-tu-eh05022asv","L5022+EH05022ASV"
"tu-chau-cabinet-caesar-l5022eh15022aw7v-l5022eh15022aw7v","tu-chau-cabinet-caesar-l5022-kem-tu-eh15022aw7v","/san-pham/tu-chau-cabinet-caesar-l5022eh15022aw7v-l5022eh15022aw7v","/san-pham/tu-chau-cabinet-caesar-l5022-kem-tu-eh15022aw7v","L5022+EH15022AW7V"
"bo-tu-chau-cabinet-treo-van-go-caesar-lf5017eh15017aw7v-lf5017eh15017aw7v","bo-tu-chau-caesar-lf5017-kem-tu-eh15017aw7v","/san-pham/bo-tu-chau-cabinet-treo-van-go-caesar-lf5017eh15017aw7v-lf5017eh15017aw7v","/san-pham/bo-tu-chau-caesar-lf5017-kem-tu-eh15017aw7v","LF5017+EH15017AW7V"
"bo-tu-chau-cabinet-treo-mau-xam-dam-caesar-lf5024eh05024asv-lf5024eh05024asv","bo-tu-chau-caesar-lf5024-kem-tu-eh05024asv","/san-pham/bo-tu-chau-cabinet-treo-mau-xam-dam-caesar-lf5024eh05024asv-lf5024eh05024asv","/san-pham/bo-tu-chau-caesar-lf5024-kem-tu-eh05024asv","LF5024+EH05024ASV"
"bo-tu-chau-cabinet-treo-van-go-caesar-lf5024eh15024aw7v-lf5024eh15024aw7v","bo-tu-chau-caesar-lf5024-kem-tu-eh15024aw7v","/san-pham/bo-tu-chau-cabinet-treo-van-go-caesar-lf5024eh15024aw7v-lf5024eh15024aw7v","/san-pham/bo-tu-chau-caesar-lf5024-kem-tu-eh15024aw7v","LF5024+EH15024AW7V"
"bo-tu-chau-cabinet-caesar-lf5024eh15024ddw7v-lf5024eh15024ddw7v","bo-tu-chau-caesar-lf5024-kem-tu-eh15024ddw7v","/san-pham/bo-tu-chau-cabinet-caesar-lf5024eh15024ddw7v-lf5024eh15024ddw7v","/san-pham/bo-tu-chau-caesar-lf5024-kem-tu-eh15024ddw7v","LF5024+EH15024DDW7V"
"bo-tu-chau-cabinet-treo-mau-xam-dam-caesar-lf5026eh05026asv-lf5026eh05026asv","bo-tu-chau-caesar-lf5026-kem-tu-eh05026asv","/san-pham/bo-tu-chau-cabinet-treo-mau-xam-dam-caesar-lf5026eh05026asv-lf5026eh05026asv","/san-pham/bo-tu-chau-caesar-lf5026-kem-tu-eh05026asv","LF5026+EH05026ASV"
"bo-tu-chau-cabinet-treo-van-go-caesar-lf5026eh15026aw7v-lf5026eh15026aw7v","bo-tu-chau-caesar-lf5026-kem-tu-eh15026aw7v","/san-pham/bo-tu-chau-cabinet-treo-van-go-caesar-lf5026eh15026aw7v-lf5026eh15026aw7v","/san-pham/bo-tu-chau-caesar-lf5026-kem-tu-eh15026aw7v","LF5026+EH15026AW7V"
"bo-tu-chau-cabinet-treo-mau-xam-dam-caesar-lf5028eh05028asv-lf5028eh05028asv","bo-tu-chau-caesar-lf5028-kem-tu-eh05028asv","/san-pham/bo-tu-chau-cabinet-treo-mau-xam-dam-caesar-lf5028eh05028asv-lf5028eh05028asv","/san-pham/bo-tu-chau-caesar-lf5028-kem-tu-eh05028asv","LF5028+EH05028ASV"
"bo-tu-chau-cabinet-van-go-caesar-lf5028eh15028aw7v-lf5028eh15028aw7v","bo-tu-chau-caesar-lf5028-kem-tu-eh15028aw7v","/san-pham/bo-tu-chau-cabinet-van-go-caesar-lf5028eh15028aw7v-lf5028eh15028aw7v","/san-pham/bo-tu-chau-caesar-lf5028-kem-tu-eh15028aw7v","LF5028+EH15028AW7V"
"tu-chau-cabinet-treo-mau-xam-dam-caesar-lf5030eh05030asv-lf5030eh05030asv","tu-chau-cabinet-treo-caesar-lf5030-kem-tu-eh05030asv","/san-pham/tu-chau-cabinet-treo-mau-xam-dam-caesar-lf5030eh05030asv-lf5030eh05030asv","/san-pham/tu-chau-cabinet-treo-caesar-lf5030-kem-tu-eh05030asv","LF5030+EH05030ASV"
"bo-tu-chau-cabinet-treo-mau-van-go-caesar-lf5030eh05030awv-lf5030eh05030awv","bo-tu-chau-caesar-lf5030-kem-tu-eh05030awv","/san-pham/bo-tu-chau-cabinet-treo-mau-van-go-caesar-lf5030eh05030awv-lf5030eh05030awv","/san-pham/bo-tu-chau-caesar-lf5030-kem-tu-eh05030awv","LF5030+EH05030AWV"
