old_slug,new_slug,old_url,new_url,sku
"bon-tam-dat-san-toto-pjy1724whpwen-kem-bo-xa-tvbf412","bon-tam-dat-san-toto-pjy1724whpwen-mw-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1724whpwen-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1724whpwen-mw-kem-bo-xa-tvbf412","PJY1724WHPWEN#MW/TVBF412"
"bon-tam-dat-san-toto-pjy1724wpwen-kem-bo-xa-tvbf412","bon-tam-dat-san-toto-pjy1724wpwen-gw-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1724wpwen-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1724wpwen-gw-kem-bo-xa-tvbf412","PJY1724WPWEN#GW/TVBF412"
"bon-tam-dat-san-toto-pjy1734hpwen-kem-bo-xa-tvbf412","bon-tam-dat-san-toto-pjy1734hpwen-gw-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1734hpwen-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1734hpwen-gw-kem-bo-xa-tvbf412","PJY1734HPWEN#GW/TVBF412"
"bon-tam-dat-san-toto-pjy1734hpwenmw-tvbf412-galalato-1m7-tay-vin-gom-ong-thai-pjy1734hpwenmwtvbf412","bon-tam-dat-san-toto-pjy1734hpwen-mw-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1734hpwenmw-tvbf412-galalato-1m7-tay-vin-gom-ong-thai-pjy1734hpwenmwtvbf412","/san-pham/bon-tam-dat-san-toto-pjy1734hpwen-mw-kem-bo-xa-tvbf412","PJY1734HPWEN#MW/TVBF412"
"bon-tam-dat-san-toto-pjy1734pwen-kem-bo-xa-tvbf412","bon-tam-dat-san-toto-pjy1734pwen-gw-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1734pwen-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1734pwen-gw-kem-bo-xa-tvbf412","PJY1734PWEN#GW/TVBF412"
"bon-tam-dat-san-toto-pjy1734pwenmw-tvbf412-galalato-1m7-gom-ong-thai-pjy1734pwenmwtvbf412","bon-tam-dat-san-toto-pjy1734pwen-mw-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1734pwenmw-tvbf412-galalato-1m7-gom-ong-thai-pjy1734pwenmwtvbf412","/san-pham/bon-tam-dat-san-toto-pjy1734pwen-mw-kem-bo-xa-tvbf412","PJY1734PWEN#MW/TVBF412"
"bon-tam-dat-san-toto-pjy1744pwen-kem-bo-xa-tvbf412","bon-tam-dat-san-toto-pjy1744pwen-gw-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1744pwen-kem-bo-xa-tvbf412","/san-pham/bon-tam-dat-san-toto-pjy1744pwen-gw-kem-bo-xa-tvbf412","PJY1744PWEN#GW/TVBF412"
"bon-tam-yem-toto-ppy1353-3hpe-kem-bo-xa-tvbf412-tay-vin-db505r-2b","bon-tam-yem-toto-ppy1353-3hpe-p-kem-bo-xa-tvbf412-tay-vin-db505r-2b","/san-pham/bon-tam-yem-toto-ppy1353-3hpe-kem-bo-xa-tvbf412-tay-vin-db505r-2b","/san-pham/bon-tam-yem-toto-ppy1353-3hpe-p-kem-bo-xa-tvbf412-tay-vin-db505r-2b","PPY1353-3HPE#P/TVBF412/DB505R-2B"
"bon-tam-yem-toto-ppy1543-4hpe-kem-bo-xa-tvbf412-tay-vin-db505r-2b","bon-tam-yem-toto-ppy1543-4hpe-p-kem-bo-xa-tvbf412-tay-vin-db505r-2b","/san-pham/bon-tam-yem-toto-ppy1543-4hpe-kem-bo-xa-tvbf412-tay-vin-db505r-2b","/san-pham/bon-tam-yem-toto-ppy1543-4hpe-p-kem-bo-xa-tvbf412-tay-vin-db505r-2b","PPY1543-4HPE#P/TVBF412/DB505R-2B"
"bon-tam-toto-ppy1560hpe-kem-bo-xa-tvbf412-tay-vin-db505r-2b","bon-tam-toto-ppy1560hpe-p-kem-bo-xa-tvbf412-tay-vin-db505r-2b","/san-pham/bon-tam-toto-ppy1560hpe-kem-bo-xa-tvbf412-tay-vin-db505r-2b","/san-pham/bon-tam-toto-ppy1560hpe-p-kem-bo-xa-tvbf412-tay-vin-db505r-2b","PPY1560HPE#P/TVBF412/DB505R-2B"
