sku,brand,subcategory,old_name,new_name,old_slug,new_slug,slug_changed
"NIS 841 F B AUS","Ariston","bep-dien-tu","Bếp điện từ 80cm 4 vùng nấu lắp âm Ariston NIS 841 F B AUS NIS 841 F B AUS","Bếp điện từ 80cm 4 vùng nấu lắp âm Ariston NIS 841 F B AUS","bep-dien-tu-80cm-4-vung-nau-lap-am-ariston-nis-841-f-b-aus-nis-841-f-b-aus","bep-dien-tu-80cm-4-vung-nau-lap-am-ariston-nis-841-f-b-aus",YES
"H7 EVCH7520BL","Elica","bep-dien-tu","Bếp hồng ngoại 2 vùng nấu ELICA H7 EVCH7520BL H7 EVCH7520BL","Bếp hồng ngoại 2 vùng nấu ELICA H7 EVCH7520BL","bep-hong-ngoai-2-vung-nau-elica-h7-evch7520bl-h7-evch7520bl","bep-hong-ngoai-2-vung-nau-elica-h7-evch7520bl",YES
"NIKOLA TESLA ALPHA BL/A/78","Elica","bep-dien-tu","Bếp điện từ kết hợp máy hút mùi ELICA NIKOLA TESLA ALPHA NIKOLA TESLA ALPHA BL/A/78","Bếp điện từ kết hợp máy hút mùi ELICA NIKOLA TESLA ALPHA","bep-dien-tu-ket-hop-may-hut-mui-elica-nikola-tesla-alpha-nikola-tesla-alpha-bla78","bep-dien-tu-ket-hop-may-hut-mui-elica-nikola-tesla-alpha",YES
"NIKOLA TESLA FIT BL/A/60","Elica","bep-dien-tu","Bếp từ kết hợp hút mùi ELICA NikolaTesla FIT NIKOLA TESLA FIT BL/A/60","Bếp từ kết hợp hút mùi ELICA NikolaTesla FIT","bep-tu-ket-hop-hut-mui-elica-nikolatesla-fit-nikola-tesla-fit-bla60","bep-tu-ket-hop-hut-mui-elica-nikolatesla-fit",YES
"NIKOLA TESLA FIT XL BL/A/83","Elica","bep-dien-tu","Bếp từ kết hợp hút mùi ELICA NikolaTesla FIT XL NIKOLA TESLA FIT XL BL/A/83","Bếp từ kết hợp hút mùi ELICA NikolaTesla FIT XL","bep-tu-ket-hop-hut-mui-elica-nikolatesla-fit-xl-nikola-tesla-fit-xl-bla83","bep-tu-ket-hop-hut-mui-elica-nikolatesla-fit-xl",YES
"NIKOLA TESLA HP BL/A/83","Elica","bep-dien-tu","Bếp từ kết hợp hút mùi ELICA NikolaTesla ONE NIKOLA TESLA HP BL/A/83","Bếp từ kết hợp hút mùi ELICA NikolaTesla ONE","bep-tu-ket-hop-hut-mui-elica-nikolatesla-one-nikola-tesla-hp-bla83","bep-tu-ket-hop-hut-mui-elica-nikolatesla-one",YES
"NIKOLA TESLA LIBRA BL/A/83","Elica","bep-dien-tu","Bếp từ kết hợp hút mùi ELICA NikolaTesla LIBRA NIKOLA TESLA LIBRA BL/A/83","Bếp từ kết hợp hút mùi ELICA NikolaTesla LIBRA","bep-tu-ket-hop-hut-mui-elica-nikolatesla-libra-nikola-tesla-libra-bla83","bep-tu-ket-hop-hut-mui-elica-nikolatesla-libra",YES
"NIKOLA TESLA PRIME BL/F/83","Elica","bep-dien-tu","Bếp từ kết hợp hút mùi ELICA NikolaTesla PRIME NIKOLA TESLA PRIME BL/F/83","Bếp từ kết hợp hút mùi ELICA NikolaTesla PRIME","bep-tu-ket-hop-hut-mui-elica-nikolatesla-prime-nikola-tesla-prime-blf83","bep-tu-ket-hop-hut-mui-elica-nikolatesla-prime",YES
"NIKOLA TESLA PRIME S BL/F PO/83 (*)","Elica","bep-dien-tu","Bếp từ kết hợp hút mùi ELICA NikolaTesla Prime S NIKOLA TESLA PRIME S BL/F PO/83 (*)","Bếp từ kết hợp hút mùi ELICA NikolaTesla Prime S","bep-tu-ket-hop-hut-mui-elica-nikolatesla-prime-s-nikola-tesla-prime-s-blf-po83","bep-tu-ket-hop-hut-mui-elica-nikolatesla-prime-s",YES
"NIKOLA TESLA SWITCH GLOW BL/A/83","Elica","bep-dien-tu","Bếp điện từ kết hợp máy hút mùi ELICA NIKOLA TESLA SWITCH GLOW NIKOLA TESLA SWITCH GLOW BL/A/83","Bếp điện từ kết hợp máy hút mùi ELICA NIKOLA TESLA SWITCH GLOW","bep-dien-tu-ket-hop-may-hut-mui-elica-nikola-tesla-switch-glow-nikola-tesla-switch-glow-bla83","bep-dien-tu-ket-hop-may-hut-mui-elica-nikola-tesla-switch-glow",YES
"NIKOLA TESLA SWITCH WH/A/83","Elica","bep-dien-tu","Bếp từ kết hợp hút mùi ELICA NikolaTesla SWITCH NIKOLA TESLA SWITCH WH/A/83","Bếp từ kết hợp hút mùi ELICA NikolaTesla SWITCH","bep-tu-ket-hop-hut-mui-elica-nikolatesla-switch-nikola-tesla-switch-wha83","bep-tu-ket-hop-hut-mui-elica-nikolatesla-switch",YES
"NIKOLA TESLA UNPLUGGED BLIX/F/90","Elica","bep-dien-tu","Bếp từ kết hợp hút mùi ELICA NikolaTesla Unplugged NIKOLA TESLA UNPLUGGED BLIX/F/90","Bếp từ kết hợp hút mùi ELICA NikolaTesla Unplugged","bep-tu-ket-hop-hut-mui-elica-nikolatesla-unplugged-nikola-tesla-unplugged-blixf90","bep-tu-ket-hop-hut-mui-elica-nikolatesla-unplugged",YES
"RATIO 302 PLUS BL","Elica","bep-dien-tu","Bếp điện từ 2 vùng nấu ELICA RATIO 302 PLUS BL RATIO 302 PLUS BL","Bếp điện từ 2 vùng nấu ELICA RATIO 302 PLUS BL","bep-dien-tu-2-vung-nau-elica-ratio-302-plus-bl-ratio-302-plus-bl","bep-dien-tu-2-vung-nau-elica-ratio-302-plus-bl",YES
